Part,Color,Quantity
87618,0,2
36841,0,5
99781,0,7
3005,0,8
3004,0,2
3622,0,3
25214,0,2
2877,0,6
298c02,0,1
3024,0,19
3023,0,17
3623,0,10
3710,0,8
3666,0,2
3460,0,9
3022,0,3
3021,0,1
3020,0,5
3795,0,5
11212,0,3
3032,0,2
6141,0,2
44861,0,2
18677,0,13
99206,0,2
60477,0,1
54200,0,4
85984,0,6
28192,0,2
60481,0,3
24201,0,4
11477,0,7
4287c,0,1
3665,0,1
3708,0,2
3705,0,3
32013,0,1
32016,0,6
6536,0,14
42003,0,25
32184,0,6
41678,0,9
92907,0,1
59443,0,6
42135,0,7
18651,0,7
43857,0,4
60483,0,26
41677,0,22
32523,0,13
6632,0,20
32449,0,22
32316,0,11
32063,0,4
32348,0,2
40490,0,21
32140,0,8
60484,0,12
32526,0,13
6541,0,6
32000,0,8
42195,0,5
32270,0,7
18575,0,3
15458,0,1
22961,0,5
27940,0,2
44874,0,4
32557,0,4
62462,0,8
87408,0,3
2780,0,16
18938,0,1
3070b,0,5
63864,0,2
2431,0,4
14719,0,4
3068b,0,2
26603,0,2
69729,0,2
98138,0,6
2412b,0,10
6141,1,2
43093,1,13
24246,1,1
41854,72,2
87083,72,2
55013,72,14
6536,72,12
11214,72,24
6632,72,12
62821b,72,1
18942,72,6
27940,72,3
92906,72,1
4185,72,4
11291,72,2
6587,28,1
56145,179,6
3622,71,8
3010,71,4
3009,71,2
25214,71,6
3941,71,8
3023,71,1
3460,71,2
3021,71,1
3034,71,4
3035,71,1
85861,71,4
4032a,71,4
60470b,71,4
18649,71,4
10247,71,2
24201,71,4
11477,71,14
15068,71,8
32803,71,4
61510,71,1
4519,71,21
32073,71,6
44294,71,15
60485,71,4
6536,71,3
32291,71,6
60483,71,3
32316,71,1
32524,71,3
14720,71,2
32000,71,4
3713,71,9
32123b,71,42
92693,71,1
61927b,71,1
4274,71,108
61184,71,20
44874,71,2
18654,71,4
62462,71,3
65304,71,10
32494,71,1
18939,71,1
61903,71,1
4716,71,1
3070b,71,6
2431,71,1
98138,71,5
15535,71,2
3069b,80,2
6141,4,2
32062,4,31
15462,70,13
3749,19,3
32198,19,1
32556,19,1
3024,47,4
3023,47,2
3070b,47,12
59900,182,1
3024,182,4
3070b,36,21
2431,15,2
36841,14,3
73825,14,2
99781,14,3
3004,14,2
3622,14,2
3002,14,2
25214,14,2
3024,14,44
3023,14,30
3623,14,31
3710,14,24
3666,14,3
3460,14,1
3022,14,7
2420,14,2
3021,14,35
3020,14,14
3795,14,10
3034,14,2
3032,14,3
3035,14,1
6141,14,3
15573,14,2
54200,14,8
85984,14,6
24201,14,13
11477,14,10
29120,14,5
29119,14,5
15068,14,7
50950,14,28
60485,14,1
32013,14,8
32034,14,6
32192,14,16
59443,14,2
32525,14,2
43857,14,8
6632,14,4
32449,14,16
32316,14,15
32063,14,8
6629,14,4
32271,14,4
40490,14,4
71708,14,2
32526,14,2
99773,14,4
6541,14,4
32000,14,2
18940,14,4
71709,14,4
62531,14,1
65487,14,23
3070b,14,17
3069b,14,22
63864,14,19
2431,14,16
6636,14,6
4162,14,8
27925,14,2
3068b,14,2
26603,14,7
87079,14,8
98138,14,2
24246,14,1
25269,14,4
15712,14,4
26601,14,10
